START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -600000 ps
To: 600000 ps
START counts: 16561
STOP counts: 16491
Time intervals: 16483
Elapsed time: 30.0 s
Offset: 0 ps

Time [ps]	Counts	PDF [1/ps]
-2012.5	3	0.000230679
-2011.711	0	0
-2010.922	0	0
-2010.133	0	0
-2009.344	0	0
-2008.555	0	0
-2007.766	0	0
-2006.977	71	0.0054594
-2006.188	0	0
-2005.399	0	0
-2004.61	2	0.000153786
-2003.821	1	7.6893e-05
-2003.032	8	0.000615144
-2002.243	0	0
-2001.454	0	0
-2000.665	2	0.000153786
-1999.876	22	0.00169165
-1999.087	15	0.00115339
-1998.298	5	0.000384465
-1997.509	0	0
-1996.72	3	0.000230679
-1995.931	5	0.000384465
-1995.142	35	0.00269125
-1994.353	33	0.00253747
-1993.564	5	0.000384465
-1992.775	69	0.00530562
-1991.986	14	0.0010765
-1991.197	156	0.0119953
-1990.408	22	0.00169165
-1989.619	49	0.00376776
-1988.83	50	0.00384465
-1988.041	11	0.000845823
-1987.252	24	0.00184543
-1986.463	7	0.000538251
-1985.674	107	0.00822755
-1984.885	10	0.00076893
-1984.096	70	0.00538251
-1983.307	62	0.00476737
-1982.518	1	7.6893e-05
-1981.729	17	0.00130718
-1980.94	34	0.00261436
-1980.151	21	0.00161475
-1979.362	157	0.0120722
-1978.573	0	0
-1977.784	35	0.00269125
-1976.995	40	0.00307572
-1976.206	72	0.0055363
-1975.417	129	0.0099192
-1974.628	14	0.0010765
-1973.839	59	0.00453669
-1973.05	40	0.00307572
-1972.261	36	0.00276815
-1971.472	92	0.00707415
-1970.683	105	0.00807376
-1969.894	313	0.0240675
-1969.105	109	0.00838134
-1968.316	24	0.00184543
-1967.527	406	0.0312186
-1966.738	108	0.00830444
-1965.949	320	0.0246058
-1965.16	29	0.0022299
-1964.371	78	0.00599765
-1963.582	80	0.00615144
-1962.793	192	0.0147635
-1962.004	256	0.0196846
-1961.215	19	0.00146097
-1960.426	66	0.00507494
-1959.637	255	0.0196077
-1958.848	26	0.00199922
-1958.059	239	0.0183774
-1957.27	190	0.0146097
-1956.481	516	0.0396768
-1955.692	264	0.0202997
-1954.903	119	0.00915027
-1954.114	161	0.0123798
-1953.325	191	0.0146866
-1952.536	583	0.0448286
-1951.747	298	0.0229141
-1950.958	141	0.0108419
-1950.169	87	0.00668969
-1949.38	660	0.0507494
-1948.591	483	0.0371393
-1947.802	347	0.0266819
-1947.013	184	0.0141483
-1946.224	240	0.0184543
-1945.435	150	0.0115339
-1944.646	47	0.00361397
-1943.857	119	0.00915027
-1943.068	48	0.00369086
-1942.279	159	0.012226
-1941.49	221	0.0169934
-1940.701	147	0.0113033
-1939.912	126	0.00968852
-1939.123	200	0.0153786
-1938.334	90	0.00692037
-1937.545	38	0.00292193
-1936.756	12	0.000922716
-1935.967	133	0.0102268
-1935.178	223	0.0171471
-1934.389	366	0.0281428
-1933.6	136	0.0104574
-1932.811	199	0.0153017
-1932.022	171	0.0131487
-1931.233	59	0.00453669
-1930.444	89	0.00684348
-1929.655	75	0.00576697
-1928.866	53	0.00407533
-1928.077	201	0.0154555
-1927.288	82	0.00630523
-1926.499	140	0.010765
-1925.71	328	0.0252209
-1924.921	5	0.000384465
-1924.132	190	0.0146097
-1923.343	242	0.0186081
-1922.554	6	0.000461358
-1921.765	296	0.0227603
-1920.976	45	0.00346018
-1920.187	201	0.0154555
-1919.398	151	0.0116108
-1918.609	11	0.000845823
-1917.82	58	0.00445979
-1917.031	226	0.0173778
-1916.242	402	0.030911
-1915.453	113	0.00868891
-1914.664	92	0.00707415
-1913.875	16	0.00123029
-1913.086	411	0.031603
-1912.297	182	0.0139945
-1911.508	134	0.0103037
-1910.719	139	0.0106881
-1909.93	136	0.0104574
-1909.141	79	0.00607455
-1908.352	16	0.00123029
-1907.563	13	0.000999609
-1906.774	32	0.00246058
-1905.985	6	0.000461358
-1905.196	117	0.00899648
-1904.407	19	0.00146097
-1903.618	18	0.00138407
-1902.829	46	0.00353708
-1902.04	2	0.000153786
-1901.251	62	0.00476737
-1900.462	2	0.000153786
-1899.673	4	0.000307572
-1898.884	9	0.000692037
-1898.095	28	0.002153
-1897.306	1	7.6893e-05
-1896.517	24	0.00184543
-1895.728	147	0.0113033
-1894.939	11	0.000845823
-1894.15	81	0.00622833
-1893.361	15	0.00115339
-1892.572	8	0.000615144
-1891.783	4	0.000307572
-1890.994	61	0.00469047
-1890.205	10	0.00076893
-1889.416	60	0.00461358
-1888.627	33	0.00253747
-1887.838	11	0.000845823
-1887.049	0	0
-1886.26	21	0.00161475
-1885.471	11	0.000845823
-1884.682	2	0.000153786
-1883.893	2	0.000153786
-1883.104	0	0
-1882.315	0	0
-1881.526	3	0.000230679
-1880.737	14	0.0010765
-1879.948	1	7.6893e-05
-1879.159	5	0.000384465
-1878.37	19	0.00146097
-1877.581	5	0.000384465
-1876.792	2	0.000153786
-1876.003	2	0.000153786
-1875.214	4	0.000307572
-1874.425	8	0.000615144
-1873.636	0	0
-1872.847	1	7.6893e-05
-1872.058	0	0
-1871.269	1	7.6893e-05
-1870.48	0	0
-1869.691	0	0
-1868.902	1	7.6893e-05
-1868.113	0	0
-1867.324	1	7.6893e-05
-1866.535	0	0
-1865.746	0	0
-1864.957	37	0.00284504
-1864.168	1	7.6893e-05
-1863.379	0	0
-1862.59	0	0
-1861.801	0	0
-1861.012	0	0
-1860.223	0	0
-1859.434	0	0
-1858.645	0	0
-1857.856	54	0.00415222
-1857.067	1	7.6893e-05
-1856.278	0	0
-1855.489	3	0.000230679
