X,CH1,CH2,Start,Increment,
Sequence,Volt,Volt,-3.000000e-01,5.000000e-04
0,2.16e+00,-4.20e-01,
1,2.12e+00,-4.60e-01,
2,2.12e+00,-4.40e-01,
3,2.16e+00,-4.80e-01,
4,2.12e+00,-4.80e-01,
5,2.20e+00,-4.60e-01,
6,2.12e+00,-4.60e-01,
7,2.20e+00,-5.00e-01,
8,2.12e+00,-4.80e-01,
9,2.20e+00,-5.40e-01,
10,2.12e+00,-5.20e-01,
11,2.20e+00,-5.60e-01,
12,2.20e+00,-5.40e-01,
13,2.12e+00,-5.80e-01,
14,2.16e+00,-5.60e-01,
15,2.20e+00,-6.00e-01,
16,2.16e+00,-5.80e-01,
17,2.20e+00,-6.40e-01,
18,2.16e+00,-6.20e-01,
19,2.20e+00,-6.60e-01,
20,2.16e+00,-6.40e-01,
21,2.20e+00,-6.80e-01,
22,2.16e+00,-6.60e-01,
23,2.24e+00,-7.20e-01,
24,2.16e+00,-7.00e-01,
25,2.24e+00,-7.40e-01,
26,2.20e+00,-7.20e-01,
27,2.24e+00,-7.60e-01,
28,2.20e+00,-7.40e-01,
29,2.24e+00,-8.00e-01,
30,2.20e+00,-7.80e-01,
31,2.24e+00,-8.20e-01,
32,2.24e+00,-8.00e-01,
33,2.20e+00,-8.40e-01,
34,2.20e+00,-8.20e-01,
35,2.28e+00,-8.60e-01,
36,2.20e+00,-8.40e-01,
37,2.28e+00,-9.00e-01,
38,2.28e+00,-8.80e-01,
39,2.20e+00,-9.20e-01,
40,2.24e+00,-9.00e-01,
41,2.28e+00,-9.40e-01,
42,2.24e+00,-9.20e-01,
43,2.28e+00,-1.00e+00,
44,2.24e+00,-9.60e-01,
45,2.32e+00,-1.02e+00,
46,2.24e+00,-1.00e+00,
47,2.32e+00,-1.04e+00,
48,2.24e+00,-1.04e+00,
49,2.32e+00,-1.10e+00,
50,2.32e+00,-1.06e+00,
51,2.24e+00,-1.12e+00,
52,2.28e+00,-1.12e+00,
53,2.32e+00,-1.16e+00,
54,2.28e+00,-1.14e+00,
55,2.32e+00,-1.20e+00,
56,2.28e+00,-1.16e+00,
57,2.36e+00,-1.24e+00,
58,2.36e+00,-1.22e+00,
59,2.28e+00,-1.26e+00,
60,2.32e+00,-1.24e+00,
61,2.36e+00,-1.32e+00,
62,2.36e+00,-1.30e+00,
63,2.32e+00,-1.34e+00,
64,2.36e+00,-1.32e+00,
65,2.32e+00,-1.36e+00,
66,2.32e+00,-1.34e+00,
67,2.40e+00,-1.42e+00,
68,2.32e+00,-1.40e+00,
69,2.40e+00,-1.44e+00,
70,2.40e+00,-1.42e+00,
71,2.32e+00,-1.50e+00,
72,2.40e+00,-1.46e+00,
73,2.36e+00,-1.52e+00,
74,2.36e+00,-1.50e+00,
75,2.40e+00,-1.54e+00,
76,2.36e+00,-1.52e+00,
77,2.44e+00,-1.60e+00,
78,2.36e+00,-1.56e+00,
79,2.44e+00,-1.62e+00,
80,2.44e+00,-1.60e+00,
81,2.36e+00,-1.64e+00,
82,2.44e+00,-1.62e+00,
83,2.40e+00,-1.68e+00,
84,2.40e+00,-1.66e+00,
85,2.48e+00,-1.72e+00,
86,2.40e+00,-1.70e+00,
87,2.48e+00,-1.76e+00,
88,2.48e+00,-1.74e+00,
89,2.40e+00,-1.78e+00,
90,2.44e+00,-1.76e+00,
91,2.48e+00,-1.82e+00,
92,2.48e+00,-1.78e+00,
93,2.44e+00,-1.86e+00,
94,2.44e+00,-1.82e+00,
95,2.52e+00,-1.88e+00,
96,2.44e+00,-1.86e+00,
97,2.52e+00,-1.90e+00,
98,2.52e+00,-1.94e+00,
99,2.44e+00,-1.88e+00,
100,2.48e+00,-1.92e+00,
101,2.52e+00,-1.96e+00,
102,2.48e+00,-1.94e+00,
103,2.56e+00,-1.98e+00,
104,2.56e+00,-1.96e+00,
105,2.48e+00,-2.02e+00,
106,2.52e+00,-2.00e+00,
107,2.56e+00,-2.04e+00,
108,2.52e+00,-2.02e+00,
109,2.56e+00,-2.06e+00,
110,2.52e+00,-2.02e+00,
111,2.60e+00,-2.06e+00,
112,2.60e+00,-2.04e+00,
113,2.52e+00,-2.10e+00,
114,2.56e+00,-2.10e+00,
115,2.60e+00,-2.06e+00,
116,2.56e+00,-2.08e+00,
117,2.64e+00,-2.12e+00,
118,2.56e+00,-2.12e+00,
119,2.64e+00,-2.08e+00,
120,2.56e+00,-2.10e+00,
121,2.64e+00,-2.14e+00,
122,2.60e+00,-2.10e+00,
123,2.64e+00,-2.14e+00,
124,2.60e+00,-2.14e+00,
125,2.68e+00,-2.10e+00,
126,2.60e+00,-2.12e+00,
127,2.68e+00,-2.14e+00,
128,2.64e+00,-2.12e+00,
129,2.68e+00,-2.14e+00,
130,2.64e+00,-2.14e+00,
131,2.72e+00,-2.12e+00,
132,2.72e+00,-2.14e+00,
133,2.64e+00,-2.12e+00,
134,2.72e+00,-2.14e+00,
135,2.68e+00,-2.12e+00,
136,2.72e+00,-2.14e+00,
137,2.68e+00,-2.10e+00,
138,2.68e+00,-2.14e+00,
139,2.76e+00,-2.10e+00,
140,2.76e+00,-2.10e+00,
141,2.72e+00,-2.12e+00,
142,2.76e+00,-2.12e+00,
143,2.72e+00,-2.08e+00,
144,2.72e+00,-2.08e+00,
145,2.80e+00,-2.10e+00,
146,2.80e+00,-2.10e+00,
147,2.72e+00,-2.04e+00,
148,2.80e+00,-2.10e+00,
149,2.76e+00,-2.04e+00,
150,2.84e+00,-2.06e+00,
151,2.76e+00,-2.02e+00,
