Filename:  D:\Backup\Documents\FMF\3. Letnik\Fizikalni Praktikum V\Gamma\BG_100_1.mca
Description:  
TimeStamp:  10/14/2021 17:44:43

Calibration Information
Label:  keV
Channel	Value
0	0
644	511
1515	1277
A	B	C
-4.356e-012	0.756934	5.67463e-005

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	1
47	18
48	20
49	12
50	15
51	7
52	7
53	21
54	14
55	16
56	21
57	18
58	17
59	22
60	15
61	27
62	18
63	23
64	24
65	29
66	27
67	31
68	23
69	17
70	33
71	26
72	32
73	33
74	34
75	38
76	39
77	47
78	48
79	38
80	33
81	40
82	39
83	38
84	37
85	46
86	47
87	45
88	43
89	35
90	51
91	41
92	35
93	36
94	44
95	38
96	41
97	42
98	31
99	39
100	54
101	54
102	42
103	49
104	43
105	56
106	45
107	52
108	57
109	48
110	45
111	52
112	46
113	45
114	43
115	33
116	53
117	44
118	37
119	50
120	50
121	50
122	60
123	41
124	45
125	44
126	56
127	50
128	41
129	53
130	38
131	38
132	55
133	39
134	37
135	43
136	60
137	48
138	33
139	47
140	40
141	42
142	34
143	45
144	51
145	36
146	36
147	54
148	31
149	48
150	33
151	41
152	37
153	36
154	32
155	55
156	39
157	36
158	39
159	35
160	27
161	36
162	49
163	45
164	41
165	40
166	50
167	33
168	43
169	40
170	32
171	34
172	41
173	40
174	40
175	29
176	47
177	39
178	43
179	33
180	39
181	33
182	33
183	34
184	33
185	28
186	37
187	21
188	37
189	29
190	29
191	35
192	35
193	23
194	51
195	37
196	30
197	37
198	29
199	29
200	35
201	25
202	33
203	32
204	24
205	27
206	27
207	34
208	27
209	24
210	24
211	40
212	31
213	28
214	22
215	25
216	25
217	24
218	17
219	28
220	26
221	24
222	18
223	32
224	22
225	28
226	30
227	28
228	32
229	27
230	26
231	20
232	29
233	26
234	19
235	28
236	22
237	20
238	28
239	26
240	19
241	26
242	27
243	24
244	25
245	25
246	17
247	24
248	27
249	28
250	18
251	23
252	21
253	16
254	23
255	18
256	20
257	14
258	21
259	13
260	13
261	18
262	15
263	23
264	18
265	18
266	29
267	23
268	18
269	16
270	14
271	22
272	28
273	15
274	15
275	11
276	23
277	17
278	15
279	18
280	26
281	16
282	12
283	22
284	12
285	15
286	11
287	15
288	28
289	18
290	25
291	11
292	19
293	12
294	19
295	14
296	18
297	21
298	14
299	15
300	9
301	10
302	15
303	7
304	23
305	15
306	11
307	17
308	13
309	16
310	9
311	22
312	10
313	13
314	12
315	15
316	19
317	19
318	15
319	15
320	15
321	16
322	9
323	16
324	14
325	7
326	11
327	6
328	14
329	9
330	15
331	15
332	11
333	6
334	8
335	6
336	16
337	13
338	10
339	15
340	7
341	7
342	12
343	17
344	9
345	16
346	9
347	11
348	11
349	10
350	11
351	9
352	10
353	7
354	11
355	10
356	11
357	17
358	11
359	13
360	18
361	13
362	8
363	9
364	14
365	13
366	12
367	4
368	5
369	5
370	11
371	11
372	10
373	6
374	9
375	12
376	7
377	11
378	7
379	8
380	10
381	8
382	10
383	8
384	9
385	7
386	12
387	8
388	8
389	4
390	9
391	6
392	9
393	14
394	8
395	12
