I [mA]	U [mV]
277	0
278	1.3
279	1.4
280	2.5
281	3
282	3.8
283	4
284	5
286	8
288	10
290	12
292	22
294	25
295	33
296	35
297	40
298	42
299	44
300	48
301	37
303	6
304	-10
305	-22
306	-33
307	-42
308	-47
309	-50
310	-54
311	-67
312	-70
313	-67
314	-58
315	-54
316	-48
317	-41
318	-37
319	-33
320	-28
321	-26
322	-24
323	-20
324	-18
325	-22
326	-14
327	-17
328	-15
329	-12
330	-11
331	-8
333	-8
335	-7
337	-6
340	-5
